MSA,GEO,YEAR,INDUSTRY,Count
Austin,Metro,2011,"Agriculture, Forestry, Fishing and Hunting",856
Austin,Metro,2011,"Mining, Quarrying, and Oil and Gas Extraction",2455
Austin,Metro,2011,Utilities,6298
Austin,Metro,2011,Construction,40532
Austin,Metro,2011,Manufacturing,49688
Austin,Metro,2011,Wholesale Trade,41665
Austin,Metro,2011,Retail Trade,73657
Austin,Metro,2011,Transportation and Warehousing,11209
Austin,Metro,2011,Information,20445
Austin,Metro,2011,Finance and Insurance,31537
Austin,Metro,2011,Real Estate and Rental and Leasing,12737
Austin,Metro,2011,"Professional, Scientific, and Technical Services",66717
Austin,Metro,2011,Management of Companies and Enterprises,4716
Austin,Metro,2011,"Administration & Support, Waste Management and Remediation",49314
Austin,Metro,2011,Educational Services,142931
Austin,Metro,2011,Health Care and Social Assistance,84377
Austin,Metro,2011,"Arts, Entertainment, and Recreation",10296
Austin,Metro,2011,Accommodation and Food Services,64566
Austin,Metro,2011,Other Services (excluding Public Administration),25634
Austin,Metro,2011,Public Administration,62458
Austin,Metro,2010,"Agriculture, Forestry, Fishing and Hunting",813
Austin,Metro,2010,"Mining, Quarrying, and Oil and Gas Extraction",2257
Austin,Metro,2010,Utilities,6358
Austin,Metro,2010,Construction,41157
Austin,Metro,2010,Manufacturing,46952
Austin,Metro,2010,Wholesale Trade,41601
Austin,Metro,2010,Retail Trade,66081
Austin,Metro,2010,Transportation and Warehousing,10079
Austin,Metro,2010,Information,18294
Austin,Metro,2010,Finance and Insurance,30989
Austin,Metro,2010,Real Estate and Rental and Leasing,12057
Austin,Metro,2010,"Professional, Scientific, and Technical Services",59069
Austin,Metro,2010,Management of Companies and Enterprises,4252
Austin,Metro,2010,"Administration & Support, Waste Management and Remediation",41942
Austin,Metro,2010,Educational Services,133738
Austin,Metro,2010,Health Care and Social Assistance,80922
Austin,Metro,2010,"Arts, Entertainment, and Recreation",10194
Austin,Metro,2010,Accommodation and Food Services,60437
Austin,Metro,2010,Other Services (excluding Public Administration),24689
Austin,Metro,2010,Public Administration,62578
Austin,Metro,2009,"Agriculture, Forestry, Fishing and Hunting",712
Austin,Metro,2009,"Mining, Quarrying, and Oil and Gas Extraction",2365
Austin,Metro,2009,Utilities,6187
Austin,Metro,2009,Construction,43767
Austin,Metro,2009,Manufacturing,49058
Austin,Metro,2009,Wholesale Trade,37474
Austin,Metro,2009,Retail Trade,68700
Austin,Metro,2009,Transportation and Warehousing,10155
Austin,Metro,2009,Information,19298
Austin,Metro,2009,Finance and Insurance,31663
Austin,Metro,2009,Real Estate and Rental and Leasing,12488
Austin,Metro,2009,"Professional, Scientific, and Technical Services",60239
Austin,Metro,2009,Management of Companies and Enterprises,4477
Austin,Metro,2009,"Administration & Support, Waste Management and Remediation",40013
Austin,Metro,2009,Educational Services,128419
Austin,Metro,2009,Health Care and Social Assistance,74221
Austin,Metro,2009,"Arts, Entertainment, and Recreation",10316
Austin,Metro,2009,Accommodation and Food Services,59538
Austin,Metro,2009,Other Services (excluding Public Administration),24921
Austin,Metro,2009,Public Administration,52712
Austin,Metro,2008,"Agriculture, Forestry, Fishing and Hunting",753
Austin,Metro,2008,"Mining, Quarrying, and Oil and Gas Extraction",2662
